EmpId,EmpShift,DeptId,Zone,DateTime,ToolScanTime,Img
EMP017,7:30,DEPT4,HQ,9/11/2023 7:14,0.39,HQ_20230911_EMP017
EMP030,7:30,DEPT3,HQ,9/11/2023 7:21,0.43,HQ_20230911_EMP030
EMP001,7:30,DEPT4,HQ,9/11/2023 7:27,0.44,HQ_20230911_EMP001
EMP023,7:30,DEPT4,HQ,9/11/2023 7:28,0.42,HQ_20230911_EMP023
EMP011,7:30,DEPT3,HQ,9/11/2023 7:25,0.42,HQ_20230911_EMP011
EMP014,7:30,DEPT4,HQ,9/11/2023 7:23,0.5,HQ_20230911_EMP014
EMP015,7:30,DEPT4,HQ,9/11/2023 7:33,0.44,HQ_20230911_EMP015
EMP028,7:30,DEPT2,HQ,9/11/2023 7:39,0.42,HQ_20230911_EMP028
EMP016,7:30,DEPT4,HQ,9/11/2023 7:36,0.44,HQ_20230911_EMP016
EMP024,7:30,DEPT1,HQ,9/11/2023 7:29,0.5,HQ_20230911_EMP024
EMP009,7:30,DEPT3,HQ,9/11/2023 7:42,0.46,HQ_20230911_EMP009
EMP025,7:30,DEPT2,HQ,9/11/2023 7:35,0.46,HQ_20230911_EMP025
EMP031,7:30,DEPT3,HQ,9/11/2023 7:41,0.38,HQ_20230911_EMP031
EMP010,7:30,DEPT4,HQ,9/11/2023 7:31,0.41,HQ_20230911_EMP010
EMP005,7:30,DEPT3,HQ,9/11/2023 7:42,0.47,HQ_20230911_EMP005
EMP013,7:30,DEPT3,HQ,9/11/2023 7:31,0.52,HQ_20230911_EMP013
EMP029,7:30,DEPT2,HQ,9/11/2023 7:44,0.48,HQ_20230911_EMP029
EMP021,7:30,DEPT4,HQ,9/11/2023 7:37,0.42,HQ_20230911_EMP021
EMP032,7:30,DEPT4,HQ,9/11/2023 7:45,0.51,HQ_20230911_EMP032
EMP006,7:30,DEPT4,HQ,9/11/2023 7:39,0.44,HQ_20230911_EMP006
EMP022,7:30,DEPT4,HQ,9/11/2023 7:41,0.47,HQ_20230911_EMP022
EMP019,7:30,DEPT2,HQ,9/11/2023 7:37,0.48,HQ_20230911_EMP019
